"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DHXM","DHX Media Ltd.","4.31","122797339.22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dhxm",
"DHIL","Diamond Hill Investment Group, Inc.","203.56","700483954.52","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/dhil",
"FANG","Diamondback Energy, Inc.","88.59","8693163329.37","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fang",
"DCIX","Diana Containerships Inc.","0.36","3370058.64","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DRNA","Dicerna Pharmaceuticals, Inc.","3.02","128222263.06","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drna",
"DFBG","Differential Brands Group Inc.","1.95","25995490.95","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dfbg",
"DFFN","Diffusion Pharmaceuticals Inc.","2.71","28036676.27","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dffn",
"DGII","Digi International Inc.","9.75","258739035.75","n/a","1989","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/dgii",
"DGLT","Digiliti Money Group, Inc.","3.63","35854526.4","n/a","n/a","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/dglt",
"DMRC","Digimarc Corporation","36.05","385653346.75","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dmrc",
"DRAD","Digirad Corporation","3.9","77914137.6","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/drad",
"DGLY","Digital Ally, Inc.","3.8465","21847085.2915","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dgly",
"APPS","Digital Turbine, Inc.","1.025","68299856.15","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/apps",
"DCOM","Dime Community Bancshares, Inc.","19.3","726329367.8","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/dcom",
"DMTX","Dimension Therapeutics, Inc.","1.15","28800031.9","n/a","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dmtx",
"DIOD","Diodes Incorporated","26.26","1270284354.82","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/diod",
"DISCA","Discovery Communications, Inc.","26.4","10152720124.8","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/disca",
"DISCB","Discovery Communications, Inc.","26.655","10250786171.46","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/discb",
"DISCK","Discovery Communications, Inc.","25.635","9858521984.82","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/disck",
"DISH","DISH Network Corporation","64.89","30232823329.8","n/a","1995","Consumer Services","Television Services","http://www.nasdaq.com/symbol/dish",
"DVCR","Diversicare Healthcare Services Inc.","10.3","66526010.8","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/dvcr",
"SAUC","Diversified Restaurant Holdings, Inc.","3.36","89609005.92","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/sauc",
"DLHC","DLH Holdings Corp.","5.41","60871231.74","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/dlhc",
"BOOM","DMC Global Inc.","13.95","205402450.5","n/a","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/boom",
"DNBF","DNB Financial Corp","32.2","137105732.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dnbf",
"DLTR","Dollar Tree, Inc.","75.4","17846316443.8","n/a","1995","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dltr",
"DGICA","Donegal Group, Inc.","15.8801","433376615.4147","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/dgica",
"DGICB","Donegal Group, Inc.","14.5","395712931.5","n/a","1986","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/dgicb",
"DMLP","Dorchester Minerals, L.P.","15.9","487739352.9","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dmlp",
"DORM","Dorman Products, Inc.","83.46","2862441808.2","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dorm",
"EAGL","Double Eagle Acquisition Corp.","10.025","626562500","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/eagl",
"EAGLU","Double Eagle Acquisition Corp.","10.4","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/eaglu",
"EAGLW","Double Eagle Acquisition Corp.","0.43","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/eaglw",
"DRWI","DragonWave Inc","1.11","9439824.06","n/a","2009","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/drwi",
"DRYS","DryShips Inc.","1.8042","2030251.8264","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/drys",
"DSPG","DSP Group, Inc.","12.1","268245553.4","n/a","1994","Technology","Semiconductors","http://www.nasdaq.com/symbol/dspg",
"DLTH","Duluth Holdings Inc.","16.79","544694816.59","n/a","2015","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dlth",
"DNKN","Dunkin&#39; Brands Group, Inc.","59.29","5378356338.74","n/a","2011","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dnkn",
"DRRX","DURECT Corporation","1.22","173199173.92","n/a","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drrx",
"DXPE","DXP Enterprises, Inc.","35.985","626781728.085","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dxpe",
"DYSL","Dynasil Corporation of America","1.25","21264190","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dysl",
"DYNT","Dynatronics Corporation","2.95","10865115.5","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/dynt",
"DVAX","Dynavax Technologies Corporation","7","341555018","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dvax",
"ETFC","E*TRADE Financial Corporation","35.25","9694129078.5","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/etfc",
"EBMT","Eagle Bancorp Montana, Inc.","18.4","70129925.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ebmt",
"EGBN","Eagle Bancorp, Inc.","59.35","2024400071.35","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/egbn",
"EGLE","Eagle Bulk Shipping Inc.","4.59","340137158.04","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/egle",
"EGRX","Eagle Pharmaceuticals, Inc.","72.295","1105983802.77","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/egrx",
"IGLE","Eagleline Acquisition Corp.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igle",
"EWBC","East West Bancorp, Inc.","54.37","7855600027.67","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ewbc",
"EACQ","Easterly Acquisition Corp.","10","250000000","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacq",
"EACQU","Easterly Acquisition Corp.","10.23","0","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacqu",
"EACQW","Easterly Acquisition Corp.","0.3843","0","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacqw",
"EML","Eastern Company (The)","30.9","193379399.7","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/eml",
"EVBS","Eastern Virginia Bankshares, Inc.","11.35","148825660.55","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/evbs",
"EVGBC","Eaton Vance NextShares Trust","99.97","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evgbc",
"EVSTC","Eaton Vance NextShares Trust","99.97","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evstc",
"EVLMC","Eaton Vance NextShares Trust II","99.94","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evlmc",
"EBAY","eBay Inc.","35.77","38715231190.02","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebay",
"EBAYL","eBay Inc.","26.96","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebayl",
"EBIX","Ebix, Inc.","54.65","1723308890.05","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ebix",
"ELON","Echelon Corporation","6.55","29095047.6","n/a","1998","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/elon",
"ECHO","Echo Global Logistics, Inc.","19.35","563977750.95","n/a","2009","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/echo",
"SATS","EchoStar Corporation","60.4","5767714625.6","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats",
"EEI","Ecology and Environment, Inc.","11.95","51314518.9","n/a","1987","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eei",
"ESES","Eco-Stim Energy Solutions, Inc.","1.37","20588140.8","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/eses",
"EDAP","EDAP TMS S.A.","2.95","86559767.3","29342294","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/edap",
"EDGE","Edge Therapeutics, Inc.","9.85","303492644.6","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/edge",
"EDGW","Edgewater Technology, Inc.","7.055","94814967","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/edgw",
"EDIT","Editas Medicine, Inc.","15.62","645862757.76","n/a","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/edit",
"EDUC","Educational Development Corporation","9.55","39005170.05","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/educ",
"EGAN","eGain Corporation","1.55","42013480.05","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/egan",
"EGLT","Egalet Corporation","2.56","65574722.56","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eglt",
"EHTH","eHealth, Inc.","17.57","323836605.68","n/a","2006","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ehth",
"EIGR","Eiger BioPharmaceuticals, Inc.","6.9","57732507","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/eigr",
"EKSO","Ekso Bionics Holdings, Inc.","1.17","29992444.56","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ekso",
"LOCO","El Pollo Loco Holdings, Inc.","13.6","523153988","n/a","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/loco",
"EMITF","Elbit Imaging Ltd.","3.2","29410585.6","n/a","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/emitf",
"ESLT","Elbit Systems Ltd.","125.66","5371699103.44","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/eslt",
"ERI","Eldorado Resorts, Inc.","21.6","1634555203.2","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/eri",
"ESIO","Electro Scientific Industries, Inc.","8.75","285866192.5","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esio",
"EA","Electronic Arts Inc.","115.37","35767971316.35","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ea",
"EFII","Electronics for Imaging, Inc.","47.39","2202110937.6","n/a","1992","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/efii",
"ELSE","Electro-Sensors, Inc.","4","13582084","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/else",
"ELEC","Electrum Special Acquisition Corporation","10.0499","251247500","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/elec",
"ELECU","Electrum Special Acquisition Corporation","10.4","260000000","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/elecu",
"ELECW","Electrum Special Acquisition Corporation","0.38","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/elecw",
"EBIO","Eleven Biotherapeutics, Inc.","1.4401","35571544.3146","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ebio",
"DWAC","Elkhorn Commodity Rotation Strategy ETF","24.5254","2452589.0508","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dwac",
"ESBK","Elmira Savings Bank NY (The)","20.35","55046750","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/esbk",
"ELTK","Eltek Ltd.","0.6597","6691180.0914","n/a","1997","Technology","Electrical Products","http://www.nasdaq.com/symbol/eltk",
"EMCI","EMC Insurance Group Inc.","27.17","577612083.62","n/a","1982","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/emci",
"EMCF","Emclaire Financial Corp","27.5","59217345","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/emcf",
"EMKR","EMCORE Corporation","10.4","279004117.6","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/emkr",
"EMMS","Emmis Communications Corporation","3.28","40959885.6","n/a","1994","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/emms",
"NYNY","Empire Resorts, Inc.","24.5","763833290.5","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/nyny",
"ENTA","Enanta Pharmaceuticals, Inc.","29.82","569070298.02","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/enta",
"ECPG","Encore Capital Group Inc","37.9","975449013.9","n/a","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/ecpg",
"WIRE","Encore Wire Corporation","42.3","877662861.3","n/a","1992","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/wire",
"ENDP","Endo International plc","12.4","2766595533.2","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/endp",
"ECYT","Endocyte, Inc.","1.565","66466917.81","n/a","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ecyt",
"ELGX","Endologix, Inc.","4.72","391642297.36","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/elgx",
"NDRA","ENDRA Life Sciences Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ndra",
"NDRAU","ENDRA Life Sciences Inc.","4.5","0","n/a","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ndrau",
"NDRAW","ENDRA Life Sciences Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ndraw",
"EIGI","Endurance International Group Holdings, Inc.","7.8","1113108750","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/eigi",
"WATT","Energous Corporation","15.8099","325929167.3589","n/a","2014","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/watt",
"EFOI","Energy Focus, Inc.","3.04","35807621.92","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/efoi",
"EHR","Energy Hunter Resources, Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ehr",
"ERII","Energy Recovery, Inc.","7.64","412447501","n/a","2008","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/erii",
"EXXI","Energy XXI Gulf Coast, Inc.","22.49","746928749.06","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/exxi",
"ENOC","EnerNOC, Inc.","5.5","171636305.5","n/a","2007","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/enoc",
"ENG","ENGlobal Corporation","1.1812","32056181.6484","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eng",
"ENPH","Enphase Energy, Inc.","0.76","64050088.32","n/a","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/enph",
"ESGR","Enstar Group Limited","190.8","3705815289.6","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/esgr",
"ENFC","Entegra Financial Corp.","23.8","153632451","n/a","2014","Finance","Banks","http://www.nasdaq.com/symbol/enfc",
"ENTG","Entegris, Inc.","26.4","3740196345.6","n/a","2000","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/entg",
"ENTL","Entellus Medical, Inc.","13.28","291050469.28","n/a","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/entl",
"ETRM","EnteroMedics Inc.","5.11","35294146.58","n/a","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/etrm",
"EBTC","Enterprise Bancorp Inc","31.31","362209828.93","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ebtc",
"EFSC","Enterprise Financial Services Corporation","40.4","948659387.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/efsc",
"EGT","Entertainment Gaming Asia Incorporated","2.34","33846274.8","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/egt",
"ENZY          ","Enzymotec Ltd.","8","183558976","n/a","2013","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/enzy",
"EPZM","Epizyme, Inc.","11.975","698839744.375","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epzm",
"PLUS","ePlus inc.","79","1118492428","n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/plus",
"EQIX","Equinix, Inc.","440.52","34321743580.2","n/a","2000","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqix",
"EQFN","Equitable Financial Corp.","10.05","34491228.15","n/a","2015","Finance","Savings Institutions","http://www.nasdaq.com/symbol/eqfn",
"EQBK","Equity Bancshares, Inc.","30.06","366859364.22","n/a","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/eqbk",
"ERIC","Ericsson","7.205","2350367669.485","326213417","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric",
"ERIE","Erie Indemnity Company","119.32","6239227049.76","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/erie",
"ESCA","Escalade, Incorporated","12.25","175744968","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/esca",
"ESPR","Esperion Therapeutics, Inc.","36.14","816403973.32","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/espr",
"ESSA","ESSA Bancorp, Inc.","14.62","169390273.24","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/essa",
"EPIX","ESSA Pharma Inc.","0.7214","20990495.7246","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epix",
"ESND","Essendant Inc.","16.89","633367382.61","n/a","n/a","Consumer Services","Paper","http://www.nasdaq.com/symbol/esnd",
"ETSY","Etsy, Inc.","13.43","1564813720.98","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/etsy",
"CLWT","Euro Tech Holdings Company Limited","3","6185727","n/a","1997","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt",
"EEFT","Euronet Worldwide, Inc.","88.9","4661070383.2","n/a","1997","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/eeft",
"ESEA","Euroseas Ltd.","1.24","13860586.08","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"EVEP","EV Energy Partners, L.P.","0.78","38507717.82","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep",
"EVBG","Everbridge, Inc.","25.75","717468979.75","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/evbg",
"EVK","Ever-Glory International Group, Inc.","2.6","38461373.6","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk",
"MRAM","Everspin Technologies, Inc.","15.31","191522695.57","n/a","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/mram",
"EVLV","EVINE Live Inc.","1.15","74725684.4","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/evlv",
"EVGN","Evogene Ltd.","5.14","131932538.26","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/evgn",
"EVOK","Evoke Pharma, Inc.","2.54","39086345.5","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/evok",
"EVOL","Evolving Systems, Inc.","5.15","64247614.75","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/evol",
"EXA","Exa Corporation","14.08","209977672.96","n/a","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/exa",
"EXAS","Exact Sciences Corporation","34.7","3858394393.4","n/a","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exas",
"EXAC","Exactech, Inc.","30.75","440099934.75","n/a","1996","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/exac",
"EXEL","Exelixis, Inc.","19.34","5657188810.32","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exel",
"EXFO","EXFO Inc","5.25","120376142.25","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/exfo",
"EXLS","ExlService Holdings, Inc.","53.04","1786129107.36","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/exls",
"EXPE","Expedia, Inc.","146.33","22088072900.37","n/a","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/expe",
"EXPD","Expeditors International of Washington, Inc.","54.55","9827984875.95","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd",
"EXPO","Exponent, Inc.","59.75","1545801630.75","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/expo",
"ESRX","Express Scripts Holding Company","60.37","35831224990","n/a","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/esrx",
"XOG","Extraction Oil & Gas, Inc.","14.31","2458953197.55","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xog",
"EXTR","Extreme Networks, Inc.","10.485","1155099296.43","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/extr",
"EYEG","Eyegate Pharmaceuticals, Inc.","1.82","19798171.12","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eyeg",
"EYEGW","Eyegate Pharmaceuticals, Inc.","0.1201","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eyegw",
"EZPW","EZCORP, Inc.","8.7","472341148.2","n/a","1991","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/ezpw",
"FFIV","F5 Networks, Inc.","127.97","8280034336.01","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ffiv",
"FB","Facebook, Inc.","153.13","443797836047.24","n/a","2012","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb",
"FRP","FairPoint Communications, Inc.","14.4","392621846.4","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/frp",
"FALC","FalconStor Software, Inc.","0.2474","10984456.3394","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc",
"DAVE","Famous Dave&#39;s of America, Inc.","3.9","27134749.2","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dave",
"FANH","Fanhua Inc.","8.86","323817441.84","36548244","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/fanh",
"FARM","Farmer Brothers Company","30.85","519656712.1","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/farm",
"FMAO","Farmers & Merchants Bancorp, Inc.","52.5","242588062.5","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fmao",
"FFKT","Farmers Capital Bank Corporation","38.55","289587677.1","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffkt",
"FMNB","Farmers National Banc Corp.","13.95","377578958.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmnb",
"FARO","FARO Technologies, Inc.","37.35","623446909.65","n/a","1997","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/faro",
"FAST","Fastenal Company","42.17","12198259675.08","n/a","1987","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/fast",
"FATE","Fate Therapeutics, Inc.","3.32","137452721.04","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/fate",
"FBSS","Fauquier Bankshares, Inc.","18.5001","69730595.4201","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbss",
"FNHC","Federated National Holding Company","15.62","216161071.94","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/fnhc",
"FHCO","Female Health Company (The)","1.18","36979133.82","n/a","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/fhco",
"FENX","Fenix Parts, Inc.","1.87","37665429.67","n/a","2015","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/fenx",
"GSM","Ferroglobe PLC","10.73","1844988423.63","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gsm",
"FCSC","Fibrocell Science Inc","2.35","34533428.6","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fcsc",
"FGEN","FibroGen, Inc","28.6","2000404377.4","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fgen",
"ONEQ","Fidelity Nasdaq Composite Index Tracking Stock","248.3899","819686670","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/oneq",
"LION","Fidelity Southern Corporation","21.61","569767271.88","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lion",
"FDUS","Fidus Investment Corporation","16.89","379308458.64","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/fdus",
"FRGI","Fiesta Restaurant Group, Inc.","20.9","565630264.1","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/frgi",
"FSAM","Fifth Street Asset Management Inc.","3.7","184489784.8","n/a","2014","Finance","Investment Managers","http://www.nasdaq.com/symbol/fsam",
"FSC","Fifth Street Finance Corp.","3.99","562432997.49","n/a","2008","n/a","n/a","http://www.nasdaq.com/symbol/fsc",
"FSCFL","Fifth Street Finance Corp.","25.06","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fscfl",
"FSFR","Fifth Street Senior Floating Rate Corp.","7.75","228367452","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fsfr",
"FITB","Fifth Third Bancorp","23.875","17912681972.75","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fitb",
"FITBI","Fifth Third Bancorp","29.37","528660000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fitbi",
