"Symbol","Name","Sector","Industry"
"BWFG","Bankwell Financial Group, Inc.","Finance","Major Banks"
"BANR","Banner Corporation","Finance","Major Banks"
"BBSI","Barrett Business Services, Inc.","Technology","Professional Services"
"BSET","Bassett Furniture Industries, Incorporated","Consumer Durables","Home Furnishings"
"BCBP","BCB Bancorp, Inc. (NJ)","Finance","Savings Institutions"
"BSF","Bear State Financial, Inc.","Finance","Major Banks"
"BBGI","Beasley Broadcast Group, Inc.","Consumer Services","Broadcasting"
"BBBY","Bed Bath & Beyond Inc.","Consumer Services","Home Furnishings"
"BELFA","Bel Fuse Inc.","Capital Goods","Electrical Products"
"BELFB","Bel Fuse Inc.","Capital Goods","Electrical Products"
"BNCL","Beneficial Bancorp, Inc.","Finance","Savings Institutions"
"BGCP","BGC Partners, Inc.","Finance","Investment Bankers/Brokers/Service"
"BGFV","Big 5 Sporting Goods Corporation","Consumer Services","Other Specialty Stores"
"TECH","Bio-Techne Corp","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"BLKB","Blackbaud, Inc.","Technology","Computer Software: Prepackaged Software"
"BLMN","Bloomin&#39; Brands, Inc.","Consumer Services","Restaurants"
"BHBK","Blue Hills Bancorp, Inc.","Finance","Major Banks"
"BNCN","BNC Bancorp","Finance","Major Banks"
"BOBE","Bob Evans Farms, Inc.","Consumer Services","Restaurants"
"BOKF","BOK Financial Corporation","Finance","Major Banks"
"BPFH","Boston Private Financial Holdings, Inc.","Finance","Major Banks"
"BDGE","Bridge Bancorp, Inc.","Finance","Major Banks"
"BRCD","Brocade Communications Systems, Inc.","Technology","Computer Communications Equipment"
"BRKL","Brookline Bancorp, Inc.","Finance","Savings Institutions"
"BRKS","Brooks Automation, Inc.","Technology","Industrial Machinery/Components"
"BRKR","Bruker Corporation","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"BMTC","Bryn Mawr Bank Corporation","Finance","Major Banks"
"CFFI","C&F Financial Corporation","Finance","Major Banks"
"CHRW","C.H. Robinson Worldwide, Inc.","Transportation","Oil Refining/Marketing"
"CA","CA Inc.","Technology","Computer Software: Prepackaged Software"
"CCMP","Cabot Microelectronics Corporation","Technology","Semiconductors"
"CVGW","Calavo Growers, Inc.","Consumer Non-Durables","Farming/Seeds/Milling"
"CFNB","California First National Bancorp","Finance","Major Banks"
"CAC","Camden National Corporation","Finance","Major Banks"
"CPHC","Canterbury Park Holding Corporation","Consumer Services","Services-Misc. Amusement & Recreation"
"CPLA","Capella Education Company","Consumer Services","Other Consumer Services"
"CBF","Capital Bank Financial Corp.","Finance","Major Banks"
"CCBG","Capital City Bank Group","Finance","Major Banks"
"CSWC","Capital Southwest Corporation","n/a","n/a"
"CFFN","Capitol Federal Financial, Inc.","Finance","Savings Institutions"
"CTRE","CareTrust REIT, Inc.","Consumer Services","Real Estate Investment Trusts"
"CARO","Carolina Financial Corporation","Finance","Major Banks"
"CASY","Caseys General Stores, Inc.","Consumer Durables","Automotive Aftermarket"
"CASS","Cass Information Systems, Inc","Miscellaneous","Business Services"
"CATY","Cathay General Bancorp","Finance","Major Banks"
"CBFV","CB Financial Services, Inc.","Finance","Major Banks"
"CBOE","CBOE Holdings, Inc.","Finance","Investment Bankers/Brokers/Service"
"CDK","CDK Global, Inc.","Miscellaneous","Business Services"
"CDW","CDW Corporation","Consumer Services","Catalog/Specialty Distribution"
"CSFL","CenterState Banks, Inc.","Finance","Major Banks"
"CVCY","Central Valley Community Bancorp","Finance","Major Banks"
"CNBKA","Century Bancorp, Inc.","Finance","Major Banks"
"CHFN","Charter Financial Corp.","Finance","Savings Institutions"
"CHFC","Chemical Financial Corporation","Finance","Major Banks"
"CHMG","Chemung Financial Corp","Finance","Major Banks"
"PLCE","Children&#39;s Place, Inc. (The)","Consumer Services","Clothing/Shoe/Accessory Stores"
"CHDN","Churchill Downs, Incorporated","Consumer Services","Services-Misc. Amusement & Recreation"
"CMCT","CIM Commercial Trust Corporation","Consumer Services","Real Estate Investment Trusts"
"CINF","Cincinnati Financial Corporation","Finance","Property-Casualty Insurers"
"CTAS","Cintas Corporation","Consumer Non-Durables","Apparel"
"CSCO","Cisco Systems, Inc.","Technology","Computer Communications Equipment"
"CTRN","Citi Trends, Inc.","Consumer Services","Clothing/Shoe/Accessory Stores"
"CZNC","Citizens & Northern Corp","Finance","Major Banks"
"CZWI","Citizens Community Bancorp, Inc.","Finance","Savings Institutions"
"CZFC","Citizens First Corporation","Finance","Major Banks"
"CIZN","Citizens Holding Company","Finance","Major Banks"
"CHCO","City Holding Company","Finance","Major Banks"
"CIVB","Civista Bancshares, Inc. ","Finance","Major Banks"
"CLRO","ClearOne, Inc.","Public Utilities","Telecommunications Equipment"
"CSBK","Clifton Bancorp Inc.","Finance","Savings Institutions"
"CME","CME Group Inc.","Finance","Investment Bankers/Brokers/Service"
"CCNE","CNB Financial Corporation","Finance","Major Banks"
"COBZ","CoBiz Financial Inc.","Finance","Major Banks"
"COKE","Coca-Cola Bottling Co. Consolidated","Consumer Non-Durables","Beverages (Production/Distribution)"
"CVLY","Codorus Valley Bancorp, Inc","Finance","Savings Institutions"
"CCOI","Cogent Communications Holdings, Inc.","Consumer Services","Telecommunications Equipment"
"CGNX","Cognex Corporation","Capital Goods","Industrial Machinery/Components"
"CTSH","Cognizant Technology Solutions Corporation","Technology","EDP Services"
"COHU","Cohu, Inc.","Capital Goods","Electrical Products"
"CLCT","Collectors Universe, Inc.","Miscellaneous","Business Services"
"CIGI","Colliers International Group Inc. ","Finance","Real Estate"
"CBAN","Colony Bankcorp, Inc.","Finance","Major Banks"
"COLB","Columbia Banking System, Inc.","Finance","Major Banks"
"COLM","Columbia Sportswear Company","Consumer Non-Durables","Apparel"
"CMCO","Columbus McKinnon Corporation","Capital Goods","Construction/Ag Equipment/Trucks"
"CMCSA","Comcast Corporation","Consumer Services","Television Services"
"CBSH","Commerce Bancshares, Inc.","Finance","Major Banks"
"CUBN","Commerce Union Bancshares, Inc.","n/a","n/a"
"CTBI","Community Trust Bancorp, Inc.","Finance","Major Banks"
"CWBC","Community West Bancshares","Finance","Major Banks"
"CPSI","Computer Programs and Systems, Inc.","Technology","EDP Services"
"CMTL","Comtech Telecommunications Corp.","Technology","Radio And Television Broadcasting And Communications Equipment"
"CNMD","CONMED Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"CTWS","Connecticut Water Service, Inc.","Public Utilities","Water Supply"
"CNSL","Consolidated Communications Holdings, Inc.","Public Utilities","Telecommunications Equipment"
"CWCO","Consolidated Water Co. Ltd.","Public Utilities","Water Supply"
"CORE","Core-Mark Holding Company, Inc.","Consumer Non-Durables","Food Distributors"
"COST","Costco Wholesale Corporation","Consumer Services","Department/Specialty Retail Stores"
"ICBK","County Bancorp, Inc.","Finance","Major Banks"
"CRAI","CRA International,Inc.","Miscellaneous","Other Consumer Services"
"CBRL","Cracker Barrel Old Country Store, Inc.","Consumer Services","Restaurants"
"CRWS","Crown Crafts, Inc.","Basic Industries","Textiles"
"CSGS","CSG Systems International, Inc.","Technology","EDP Services"
"CSPI","CSP Inc.","Technology","EDP Services"
"CSX","CSX Corporation","Transportation","Railroads"
"DAKT","Daktronics, Inc.","Consumer Durables","Miscellaneous manufacturing industries"
"DGAS","Delta Natural Gas Company, Inc.","Public Utilities","Oil & Gas Production"
"XRAY","DENTSPLY SIRONA Inc.","Health Care","Medical/Dental Instruments"
"DHXM","DHX Media Ltd.","n/a","n/a"
"DRAD","Digirad Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"DCOM","Dime Community Bancshares, Inc.","Finance","Savings Institutions"
"DNBF","DNB Financial Corp","Finance","Major Banks"
"DMLP","Dorchester Minerals, L.P.","Energy","Oil & Gas Production"
"DNKN","Dunkin&#39; Brands Group, Inc.","Consumer Services","Restaurants"
"EBMT","Eagle Bancorp Montana, Inc.","Finance","Major Banks"
"EWBC","East West Bancorp, Inc.","Finance","Major Banks"
"EML","Eastern Company (The)","Capital Goods","Industrial Machinery/Components"
"EVBS","Eastern Virginia Bankshares, Inc.","Finance","Major Banks"
"EBIX","Ebix, Inc.","Technology","EDP Services"
"EEI","Ecology and Environment, Inc.","Consumer Services","Military/Government/Technical"
"ESBK","Elmira Savings Bank NY (The)","Finance","Major Banks"
"EMCI","EMC Insurance Group Inc.","Finance","Property-Casualty Insurers"
"EMCF","Emclaire Financial Corp","Finance","Major Banks"
"WIRE","Encore Wire Corporation","Capital Goods","Metal Fabrications"
"EBTC","Enterprise Bancorp Inc","Finance","Major Banks"
"EFSC","Enterprise Financial Services Corporation","Finance","Major Banks"
"EQIX","Equinix, Inc.","Consumer Services","Real Estate Investment Trusts"
"ERIE","Erie Indemnity Company","Finance","Specialty Insurers"
"ESCA","Escalade, Incorporated","Consumer Non-Durables","Recreational Products/Toys"
"ESSA","ESSA Bancorp, Inc.","Finance","Banks"
"EVOL","Evolving Systems, Inc.","Technology","EDP Services"
"EXPE","Expedia, Inc.","Consumer Services","Transportation Services"
"EXPD","Expeditors International of Washington, Inc.","Transportation","Oil Refining/Marketing"
"EXPO","Exponent, Inc.","Consumer Services","Professional Services"
"FMAO","Farmers & Merchants Bancorp, Inc.","Finance","Savings Institutions"
"FFKT","Farmers Capital Bank Corporation","Finance","Major Banks"
"FMNB","Farmers National Banc Corp.","Finance","Major Banks"
"FAST","Fastenal Company","Consumer Services","RETAIL: Building Materials"
"FBSS","Fauquier Bankshares, Inc.","Finance","Major Banks"
"LION","Fidelity Southern Corporation","Finance","Major Banks"
"FITB","Fifth Third Bancorp","Finance","Major Banks"
"FNGN","Financial Engines, Inc.","Finance","Investment Managers"
"FISI","Financial Institutions, Inc.","Finance","Major Banks"
"FBNC","First Bancorp","Finance","Major Banks"
"FNLC","First Bancorp, Inc (ME)","Finance","Major Banks"
"BUSE","First Busey Corporation","Finance","Major Banks"
"FBIZ","First Business Financial Services, Inc.","Finance","Major Banks"
"FCAP","First Capital, Inc.","Finance","Savings Institutions"
"FCFS","First Cash, Inc.","Consumer Services","Other Specialty Stores"
"FCNCA","First Citizens BancShares, Inc.","Finance","Major Banks"
"FCBC","First Community Bancshares, Inc.","Finance","Major Banks"
"FCCO","First Community Corporation","Finance","Major Banks"
"FBNK","First Connecticut Bancorp, Inc.","Finance","Banks"
"FDEF","First Defiance Financial Corp.","Finance","Savings Institutions"
"FFBC","First Financial Bancorp.","Finance","Major Banks"
"FFIN","First Financial Bankshares, Inc.","Finance","Major Banks"
"THFF","First Financial Corporation Indiana","Finance","Major Banks"
"FFNW","First Financial Northwest, Inc.","Finance","Major Banks"
"FGBI","First Guaranty Bancshares, Inc.","Finance","Savings Institutions"
"FHB","First Hawaiian, Inc.","Finance","Major Banks"
"INBK","First Internet Bancorp","Finance","Major Banks"
"FIBK","First Interstate BancSystem, Inc.","Finance","Major Banks"
"FRME","First Merchants Corporation","Finance","Major Banks"
"FMBH","First Mid-Illinois Bancshares, Inc.","Finance","Major Banks"
"FMBI","First Midwest Bancorp, Inc.","Finance","Major Banks"
"FSFG","First Savings Financial Group, Inc.","Finance","Savings Institutions"
"FSBK","First South Bancorp Inc","Finance","Major Banks"
"FUSB","First US Bancshares, Inc.","Finance","Major Banks"
"FLXS","Flexsteel Industries, Inc.","Consumer Durables","Home Furnishings"
"FLIR","FLIR Systems, Inc.","Capital Goods","Industrial Machinery/Components"
"FFIC","Flushing Financial Corporation","Finance","Major Banks"
"FNBG","FNB Bancorp","Finance","Major Banks"
"FORR","Forrester Research, Inc.","Consumer Services","Diversified Commercial Services"
"FWRD","Forward Air Corporation","Transportation","Oil Refining/Marketing"
"FELE","Franklin Electric Co., Inc.","Consumer Durables","Metal Fabrications"
"RAIL","Freightcar America, Inc.","Capital Goods","Railroads"
"FSBW","FS Bancorp, Inc.","Finance","Banks"
"FULT","Fulton Financial Corporation","Finance","Major Banks"
"GLPI","Gaming and Leisure Properties, Inc.","Consumer Services","Real Estate Investment Trusts"
"GPIC","Gaming Partners International Corporation","Consumer Non-Durables","Recreational Products/Toys"
"GRMN","Garmin Ltd.","Capital Goods","Industrial Machinery/Components"
"GNTX","Gentex Corporation","Capital Goods","Auto Parts:O.E.M."
"GABC","German American Bancorp, Inc.","Finance","Major Banks"
"GILD","Gilead Sciences, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"GBCI","Glacier Bancorp, Inc.","Finance","Major Banks"
"GLAD","Gladstone Capital Corporation","n/a","n/a"
"GAIN","Gladstone Investment Corporation","n/a","n/a"
"LAND","Gladstone Land Corporation","Consumer Services","Real Estate Investment Trusts"
"GLBZ","Glen Burnie Bancorp","Finance","Major Banks"
"SELF","Global Self Storage, Inc.","Consumer Services","Real Estate Investment Trusts"
"GMLP","Golar LNG Partners LP","Consumer Services","Marine Transportation"
"GOV","Government Properties Income Trust","Finance","Real Estate"
"GSBC","Great Southern Bancorp, Inc.","Finance","Major Banks"
"GPRE","Green Plains, Inc.","Basic Industries","Major Chemicals"
"GCBC","Greene County Bancorp, Inc.","Finance","Banks"
"GBNK","Guaranty Bancorp","Finance","Major Banks"
"GFED","Guaranty Federal Bancshares, Inc.","Finance","Major Banks"
"HEES","H&E Equipment Services, Inc.","n/a","n/a"
"HNRG","Hallador Energy Company","Energy","Coal Mining"
"HBHC","Hancock Holding Company","Finance","Major Banks"
"HAFC","Hanmi Financial Corporation","Finance","Major Banks"
"HDNG","Hardinge Inc.","Capital Goods","Industrial Machinery/Components"
"HCAP","Harvest Capital Credit Corporation","n/a","n/a"
"HAS","Hasbro, Inc.","Consumer Non-Durables","Recreational Products/Toys"
"HWKN","Hawkins, Inc.","Consumer Durables","Specialty Chemicals"
"HWBK","Hawthorn Bancshares, Inc.","Finance","Major Banks"
"HAYN","Haynes International, Inc.","Capital Goods","Steel/Iron Ore"
"HCSG","Healthcare Services Group, Inc.","Health Care","Hospital/Nursing Management"
"HTLD","Heartland Express, Inc.","Transportation","Trucking Freight/Courier Services"
"HTLF","Heartland Financial USA, Inc.","Finance","Major Banks"
"HSII","Heidrick & Struggles International, Inc.","Technology","Diversified Commercial Services"
"HNNA","Hennessy Advisors, Inc.","Finance","Investment Managers"
"HTBK","Heritage Commerce Corp","Finance","Major Banks"
"HFWA","Heritage Financial Corporation","Finance","Banks"
"MLHR","Herman Miller, Inc.","Consumer Durables","Office Equipment/Supplies/Services"
"HIHO","Highway Holdings Limited","Capital Goods","Metal Fabrications"
"HOMB","Home BancShares, Inc.","Finance","Major Banks"
"HFBL","Home Federal Bancorp, Inc. of Louisiana","Finance","Savings Institutions"
"HOFT","Hooker Furniture Corporation","Consumer Durables","Home Furnishings"
"HOPE","Hope Bancorp, Inc.","Finance","Major Banks"
"HFBC","HopFed Bancorp, Inc.","Finance","Major Banks"
"HBNC","Horizon Bancorp (IN)","Finance","Major Banks"
"HPT","Hospitality Properties Trust","Consumer Services","Real Estate Investment Trusts"
"HSNI","HSN, Inc.","Consumer Services","Other Specialty Stores"
"HBAN","Huntington Bancshares Incorporated","Finance","Major Banks"
"HURC","Hurco Companies, Inc.","Capital Goods","Industrial Machinery/Components"
"IBKC","IBERIABANK Corporation","Finance","Major Banks"
"IROQ","IF Bancorp, Inc.","Finance","Savings Institutions"
"ILG","ILG, Inc","Finance","Real Estate"
"INDB","Independent Bank Corp.","Finance","Major Banks"
"IBCP","Independent Bank Corporation","Finance","Major Banks"
"IBTX","Independent Bank Group, Inc","Finance","Major Banks"
"IPCC","Infinity Property and Casualty Corporation","Finance","Property-Casualty Insurers"
"IMKTA","Ingles Markets, Incorporated","Consumer Services","Food Chains"
"IPHS","Innophos Holdings, Inc.","Consumer Durables","Specialty Chemicals"
"IOSP","Innospec Inc.","Basic Industries","Major Chemicals"
"IIIN","Insteel Industries, Inc.","Capital Goods","Steel/Iron Ore"
"INTC","Intel Corporation","Technology","Semiconductors"
"IPAR","Inter Parfums, Inc.","Consumer Non-Durables","Package Goods/Cosmetics"
"IBKR","Interactive Brokers Group, Inc.","Finance","Investment Bankers/Brokers/Service"
"IDCC","InterDigital, Inc.","Miscellaneous","Multi-Sector Companies"
"TILE","Interface, Inc.","Consumer Durables","Home Furnishings"
"IBOC","International Bancshares Corporation","Finance","Major Banks"
"ISCA","International Speedway Corporation","Consumer Services","Services-Misc. Amusement & Recreation"
"INTU","Intuit Inc.","Technology","Computer Software: Prepackaged Software"
"ISTR","Investar Holding Corporation","Finance","Major Banks"
"ISBC","Investors Bancorp, Inc.","Finance","Major Banks"
"ITIC","Investors Title Company","Finance","Specialty Insurers"
"ITRN","Ituran Location and Control Ltd.","Consumer Non-Durables","Electronic Components"
"IXYS","IXYS Corporation","Technology","Semiconductors"
"JJSF","J & J Snack Foods Corp.","Consumer Non-Durables","Specialty Foods"
"JBHT","J.B. Hunt Transport Services, Inc.","Transportation","Trucking Freight/Courier Services"
"JCOM","j2 Global, Inc.","Technology","Telecommunications Equipment"
"JKHY","Jack Henry & Associates, Inc.","Technology","EDP Services"
"JACK","Jack In The Box Inc.","Consumer Services","Restaurants"
"JXSB","Jacksonville Bancorp Inc.","Finance","Savings Institutions"
"JRVR","James River Group Holdings, Ltd.","Finance","Property-Casualty Insurers"
"JOUT","Johnson Outdoors Inc.","Consumer Non-Durables","Recreational Products/Toys"
"KALU","Kaiser Aluminum Corporation","Capital Goods","Metal Fabrications"
"KCAP","KCAP Financial, Inc.","n/a","n/a"
"KRNY","Kearny Financial","Finance","Savings Institutions"
"KELYA","Kelly Services, Inc.","Technology","Professional Services"
"KELYB","Kelly Services, Inc.","Technology","Professional Services"
"KFFB","Kentucky First Federal Bancorp","Finance","Savings Institutions"
"KEQU","Kewaunee Scientific Corporation","Capital Goods","Medical Specialities"
"KFRC","Kforce, Inc.","Technology","Professional Services"
"KBAL","Kimball International, Inc.","Consumer Durables","Home Furnishings"
"KINS","Kingstone Companies, Inc","Finance","Property-Casualty Insurers"
"KNSL","Kinsale Capital Group, Inc.","Finance","Property-Casualty Insurers"
"KLAC","KLA-Tencor Corporation","Capital Goods","Electronic Components"
"LSBK","Lake Shore Bancorp, Inc.","Finance","Savings Institutions"
"LBAI","Lakeland Bancorp, Inc.","Finance","Major Banks"
"LKFN","Lakeland Financial Corporation","Finance","Major Banks"
"LRCX","Lam Research Corporation","Technology","Industrial Machinery/Components"
"LAMR","Lamar Advertising Company","Consumer Services","Real Estate Investment Trusts"
"LANC","Lancaster Colony Corporation","Consumer Non-Durables","Packaged Foods"
"LARK","Landmark Bancorp Inc.","Finance","Major Banks"
"LMRK","Landmark Infrastructure Partners LP","Consumer Services","Real Estate"
"LSTR","Landstar System, Inc.","Transportation","Trucking Freight/Courier Services"
"LCNB","LCNB Corporation","Finance","Major Banks"
"LTXB","LegacyTexas Financial Group, Inc.","Finance","Savings Institutions"
"LMAT","LeMaitre Vascular, Inc.","Health Care","Medical/Dental Instruments"
"TAX","Liberty Tax, Inc.","Miscellaneous","Multi-Sector Companies"
"LCUT","Lifetime Brands, Inc.","Capital Goods","Industrial Machinery/Components"
"LWAY","Lifeway Foods, Inc.","Consumer Non-Durables","Packaged Foods"
"LMNR","Limoneira Co","Consumer Non-Durables","Farming/Seeds/Milling"
"LECO","Lincoln Electric Holdings, Inc.","Technology","Industrial Machinery/Components"
"LFUS","Littelfuse, Inc.","Consumer Durables","Electrical Products"
"LOB","Live Oak Bancshares, Inc.","Finance","Major Banks"
"LOGI","Logitech International S.A.","Technology","Computer peripheral equipment"
"LPLA","LPL Financial Holdings Inc.","Finance","Investment Bankers/Brokers/Service"
"LYTS","LSI Industries Inc.","Consumer Durables","Building Products"
"LMNX","Luminex Corporation","Health Care","Medical/Dental Instruments"
"MBTF","M B T Financial Corp","Finance","Major Banks"
"MCBC","Macatawa Bank Corporation","Finance","Major Banks"
"MFNC","Mackinac Financial Corporation","Finance","Major Banks"
"MHLD","Maiden Holdings, Ltd.","Finance","Property-Casualty Insurers"
"MSFG","MainSource Financial Group, Inc.","Finance","Major Banks"
"LOAN","Manhattan Bridge Capital, Inc","Consumer Services","Real Estate Investment Trusts"
"MANT","ManTech International Corporation","Consumer Services","Other Consumer Services"
"MKTX","MarketAxess Holdings, Inc.","Finance","Investment Bankers/Brokers/Service"
"MRLN","Marlin Business Services Corp.","Finance","Major Banks"
"MAR","Marriott International","Consumer Services","Hotels/Resorts"
"MRTN","Marten Transport, Ltd.","Transportation","Trucking Freight/Courier Services"
"MRVL","Marvell Technology Group Ltd.","Technology","Semiconductors"
"MAT","Mattel, Inc.","Consumer Non-Durables","Recreational Products/Toys"
"MATW","Matthews International Corporation","Capital Goods","Metal Fabrications"
"MXIM","Maxim Integrated Products, Inc.","Technology","Semiconductors"
"MBFI","MB Financial Inc.","Finance","Major Banks"
"MGRC","McGrath RentCorp","Technology","Diversified Commercial Services"
"MFIN","Medallion Financial Corp.","Finance","Finance: Consumer Services"
"MELI","MercadoLibre, Inc.","Miscellaneous","Business Services"
"MBWM","Mercantile Bank Corporation","Finance","Major Banks"
"MERC","Mercer International Inc.","Basic Industries","Paper"
"EBSB","Meridian Bancorp, Inc.","Finance","Major Banks"
"VIVO","Meridian Bioscience Inc.","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"MLAB","Mesa Laboratories, Inc.","Capital Goods","Industrial Machinery/Components"
"CASH","Meta Financial Group, Inc.","Finance","Savings Institutions"
"MEOH","Methanex Corporation","Basic Industries","Major Chemicals"
"MGEE","MGE Energy Inc.","Energy","Electric Utilities: Central"
"MGPI","MGP Ingredients, Inc.","Consumer Non-Durables","Beverages (Production/Distribution)"
"MCHP","Microchip Technology Incorporated","Technology","Semiconductors"
"MSFT","Microsoft Corporation","Technology","Computer Software: Prepackaged Software"
"MPB","Mid Penn Bancorp","Finance","Major Banks"
"MBCN","Middlefield Banc Corp.","Finance","Major Banks"
"MSEX","Middlesex Water Company","Public Utilities","Water Supply"
"MSBI","Midland States Bancorp, Inc.","Finance","Major Banks"
"MOFG","MidWestOne Financial Group, Inc.","Finance","Major Banks"
"MNDO","MIND C.T.I. Ltd.","Technology","EDP Services"
"MKSI","MKS Instruments, Inc.","Capital Goods","Industrial Machinery/Components"
"MINI","Mobile Mini, Inc.","Capital Goods","Metal Fabrications"
"MOCO","MOCON, Inc.","Capital Goods","Industrial Machinery/Components"
"MDLZ","Mondelez International, Inc.","Consumer Non-Durables","Packaged Foods"
"MPWR","Monolithic Power Systems, Inc.","Technology","Semiconductors"
"TYPE","Monotype Imaging Holdings Inc.","Technology","EDP Services"
"MNRO","Monro Muffler Brake, Inc.","Consumer Services","Automotive Aftermarket"
"MORN","Morningstar, Inc.","Finance","Investment Managers"
"MTGE","MTGE Investment Corp.","Consumer Services","Real Estate Investment Trusts"
"MTSC","MTS Systems Corporation","Capital Goods","Industrial Machinery/Components"
"LABL","Multi-Color Corporation","Miscellaneous","Publishing"
"MFSF","MutualFirst Financial Inc.","Finance","Major Banks"
"NDAQ","Nasdaq, Inc.","Finance","Investment Bankers/Brokers/Service"
"NKSH","National Bankshares, Inc.","Finance","Major Banks"
"NCMI","National CineMedia, Inc.","Consumer Services","Advertising"
"NGHC","National General Holdings Corp","Finance","Property-Casualty Insurers"
"NATI","National Instruments Corporation","Technology","Computer Software: Prepackaged Software"
"NRCIA","National Research Corporation","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"NRCIB","National Research Corporation","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"NSEC","National Security Group, Inc.","Finance","Life Insurance"
"NWLI","National Western Life Group, Inc.","Finance","Life Insurance"
"NHTC","Natural Health Trends Corp.","Consumer Durables","Consumer Specialties"
"NATR","Nature&#39;s Sunshine Products, Inc.","Health Care","Major Pharmaceuticals"
"NAVI","Navient Corporation","Finance","Investment Bankers/Brokers/Service"
"NBTB","NBT Bancorp Inc.","Finance","Major Banks"
